CustomerID,Name,Age,Gender,Email,Phone,PurchaseAmount,PurchaseDate,ProductCategory,Rating,Unnamed,  Gender  
CUST1000,Ali Hassan,72.0,,ali.hassan@gmail.com,0123456789,837.31,2023-10-12,Books,3.0,,
CUST1001,Fatma Ali,,Female,fatma.ali@hotmail.com,,900.25,2023-02-23,,3.0,,Female
CUST1002,Ahmed Mahmoud,-1.0,male,ahmed.mahmoud@hotmail.com,,761.72,2023-07-07,Toys,2.0,,male
CUST1003,Ahmed Gaber,-1.0,F,ahmed.gaber@gmail.com,,303.72,2023-12-30,,2.0,,F
CUST1004,Ali Ibrahim,73.0,M,ali.ibrahim@yahoo.com,0987654321,635.81,2023-12-07,Clothing,2.0,,M
CUST1005,Alaa Ibrahim,,F,alaa.ibrahim@hotmail.com,0987654321,886.26,2025-01-16,,2.0,,F
CUST1006,Mark Ali,-1.0,male,mark.ali@hotmail.com,,92.53,2024-06-12,Books,2.0,,male
CUST1007,Alaa Hassan,200.0,female,alaa.hassan@hotmail.com,0987654321,318.43,2024-05-17,Toys,10.0,,female
CUST1008,John Hassan,89.0,Male,john.hassan@yahoo.com,,883.52,32/13/2020,Home,4.0,,Male
CUST1009,Fatma Gaber,200.0,Female,fatma.gaber@hotmail.com,,966.47,2025-01-24,Electronics,2.0,,Female
CUST1010,Ahmed Smith,-1.0,M,ahmed.smith@gmail.com,0987654321,882.19,2025-06-24,,3.0,,M
CUST1011,Sara Smith,-1.0,Male,sara.smith@yahoo.com,,405.79,2024-08-05,,10.0,,Male
CUST1012,Lina Ibrahim,,,lina.ibrahim@hotmail.com,,142.6,2023-05-23,Home,2.0,,
CUST1013,Lina Gaber,,male,lina.gaber@gmail.com,,,2024-02-04,Electronics,2.0,,male
CUST1014,Alaa Ali,,M,alaa.ali@gmail.com,,891.8,2023-05-21,Clothing,,,M
CUST1015,Ali Ibrahim,18.0,female,ali.ibrahim@hotmail.com,0123456789,337.49,2024-06-25,Home,1.0,,female
CUST1016,Fatma Hassan,200.0,Female,fatma.hassan@gmail.com,0987654321,272.08,2024-01-09,Toys,2.0,,Female
CUST1017,John Mahmoud,200.0,M,john.mahmoud@gmail.com,,833.56,2025-02-19,,,,M
CUST1018,Alaa Ali,15.0,Female,alaa.ali@hotmail.com,0123456789,923.5,2024-01-04,Toys,1.0,,Female
CUST1019,Ahmed Ibrahim,-1.0,Male,ahmed.ibrahim@yahoo.com,0123456789,497.45,32/13/2020,,1.0,,Male
CUST1020,Lina Gaber,,M,lina.gaber@hotmail.com,,667.69,2023-04-27,Clothing,,,M
CUST1021,Fatma Ibrahim,,male,fatma.ibrahim@yahoo.com,0123456789,118.22,2024-12-30,Clothing,1.0,,male
CUST1022,Ahmed Mahmoud,-1.0,,ahmed.mahmoud@gmail.com,,22.02,2025-02-22,Electronics,1.0,,
CUST1023,Lina Ibrahim,44.0,M,lina.ibrahim@yahoo.com,0123456789,389.24,32/13/2020,Clothing,10.0,,M
CUST1024,John Hassan,200.0,Male,john.hassan@hotmail.com,,125.65,2023-02-27,,10.0,,Male
CUST1025,Fatma Mahmoud,-1.0,Female,fatma.mahmoud@yahoo.com,0987654321,334.63,2025-06-18,Electronics,3.0,,Female
CUST1026,Sara Mahmoud,-1.0,M,sara.mahmoud@hotmail.com,0123456789,801.36,32/13/2020,,10.0,,M
CUST1027,Ahmed Hassan,,male,ahmed.hassan@hotmail.com,,478.39,2025-03-22,,,,male
CUST1028,Lina Smith,-1.0,Male,lina.smith@gmail.com,0123456789,303.65,2023-11-10,Clothing,2.0,,Male
CUST1029,John Mahmoud,67.0,F,john.mahmoud@hotmail.com,,387.63,2024-02-28,Books,4.0,,F
CUST1030,Ali Ali,62.0,F,ali.ali@gmail.com,0987654321,,2023-05-16,Toys,2.0,,F
CUST1031,John Hassan,90.0,male,john.hassan@yahoo.com,,598.93,2024-10-13,Clothing,5.0,,male
CUST1032,Lina Mahmoud,200.0,M,lina.mahmoud@hotmail.com,,958.61,2024-03-01,,,,M
CUST1033,Sara Mahmoud,200.0,Male,sara.mahmoud@gmail.com,0123456789,378.4,2024-05-30,,,,Male
CUST1034,Fatma Mahmoud,200.0,F,fatma.mahmoud@hotmail.com,0987654321,892.09,2023-11-15,,4.0,,F
CUST1035,Mark Gaber,200.0,Male,mark.gaber@yahoo.com,,917.28,2024-11-16,Home,2.0,,Male
CUST1036,Sara Ali,70.0,female,sara.ali@yahoo.com,,542.06,2023-01-12,Electronics,,,female
CUST1037,Sara Hassan,,M,sara.hassan@yahoo.com,,273.27,2025-01-17,Electronics,5.0,,M
CUST1038,Lina Gaber,46.0,female,lina.gaber@hotmail.com,0123456789,273.77,2023-01-30,Electronics,3.0,,female
CUST1039,Ahmed Hassan,-1.0,male,ahmed.hassan@gmail.com,0123456789,513.99,2024-02-02,,5.0,,male
CUST1040,Fatma Gaber,200.0,female,fatma.gaber@gmail.com,0123456789,812.78,2024-11-27,,1.0,,female
CUST1041,Alaa Mahmoud,,M,alaa.mahmoud@hotmail.com,0987654321,543.97,2025-03-08,Toys,4.0,,M
CUST1042,Sara Mahmoud,-1.0,female,sara.mahmoud@gmail.com,0123456789,70.55,2024-01-03,Home,2.0,,female
CUST1043,John Ibrahim,57.0,female,john.ibrahim@hotmail.com,,330.84,2024-08-12,,,,female
CUST1044,Sara Gaber,200.0,,sara.gaber@hotmail.com,0987654321,156.51,2024-02-24,Home,3.0,,
CUST1045,John Gaber,,M,john.gaber@gmail.com,,207.45,2024-12-24,Clothing,5.0,,M
CUST1046,Ahmed Hassan,-1.0,,ahmed.hassan@hotmail.com,,713.49,2023-02-27,Books,5.0,,
CUST1047,Ahmed Ibrahim,,F,ahmed.ibrahim@yahoo.com,0123456789,911.39,2024-11-26,Clothing,2.0,,F
CUST1048,Mark Smith,81.0,F,mark.smith@yahoo.com,,309.4,2024-02-05,Clothing,10.0,,F
CUST1049,Fatma Mahmoud,-1.0,M,fatma.mahmoud@yahoo.com,,500.24,2023-02-13,,4.0,,M
CUST1050,Ahmed Ibrahim,-1.0,male,ahmed.ibrahim@gmail.com,,93.1,2022-11-18,Clothing,5.0,,male
CUST1051,Ali Smith,-1.0,M,ali.smith@yahoo.com,,968.44,2024-07-01,Home,2.0,,M
CUST1052,Sara Ali,,female,sara.ali@gmail.com,,521.87,2024-11-07,,2.0,,female
CUST1053,Mark Mahmoud,,F,mark.mahmoud@hotmail.com,,678.65,2024-05-30,Home,1.0,,F
CUST1054,Ali Hassan,-1.0,male,ali.hassan@yahoo.com,,639.4,2023-07-21,Electronics,,,male
CUST1055,Sara Hassan,200.0,M,sara.hassan@yahoo.com,0987654321,887.67,2024-11-17,Books,1.0,,M
CUST1056,John Mahmoud,-1.0,male,john.mahmoud@gmail.com,,346.31,2025-01-02,Toys,3.0,,male
CUST1057,Mark Ibrahim,29.0,female,mark.ibrahim@hotmail.com,,924.82,2024-05-09,Home,,,female
CUST1058,Alaa Ali,200.0,Male,alaa.ali@hotmail.com,0123456789,382.76,2023-09-25,Electronics,,,Male
CUST1059,Ali Mahmoud,-1.0,F,ali.mahmoud@yahoo.com,,847.9,2025-01-28,Electronics,5.0,,F
CUST1060,Sara Gaber,200.0,,sara.gaber@gmail.com,0123456789,72.75,2024-11-21,Electronics,,,
CUST1061,Ali Gaber,200.0,M,ali.gaber@hotmail.com,0123456789,538.83,2025-03-29,Toys,5.0,,M
CUST1062,Fatma Gaber,200.0,Female,fatma.gaber@hotmail.com,,462.04,2024-09-26,Clothing,2.0,,Female
CUST1063,Ahmed Ibrahim,,M,ahmed.ibrahim@yahoo.com,0123456789,665.71,2024-12-22,Electronics,,,M
CUST1064,Sara Ali,-1.0,M,sara.ali@hotmail.com,,627.16,2023-11-24,Clothing,5.0,,M
CUST1065,John Ali,83.0,F,john.ali@hotmail.com,,326.42,2024-03-10,,5.0,,F
CUST1066,Sara Mahmoud,200.0,,sara.mahmoud@hotmail.com,0987654321,600.8,2023-10-10,Books,3.0,,
CUST1067,Sara Gaber,,,sara.gaber@yahoo.com,0123456789,85.14,32/13/2020,Clothing,,,
CUST1068,Ali Hassan,-1.0,Female,ali.hassan@gmail.com,,336.17,2024-08-11,Home,1.0,,Female
CUST1069,Sara Hassan,-1.0,F,sara.hassan@yahoo.com,0987654321,338.8,2024-07-02,Clothing,5.0,,F
CUST1070,Mark Mahmoud,81.0,F,mark.mahmoud@gmail.com,,330.97,2024-08-30,Clothing,2.0,,F
CUST1071,Fatma Ibrahim,62.0,F,fatma.ibrahim@yahoo.com,0123456789,642.53,2024-05-20,Clothing,4.0,,F
CUST1072,Lina Mahmoud,,female,lina.mahmoud@gmail.com,,624.57,2025-01-31,Electronics,5.0,,female
CUST1073,Ali Ali,-1.0,M,ali.ali@gmail.com,,140.28,2024-06-21,Books,5.0,,M
CUST1074,Ahmed Ibrahim,,,ahmed.ibrahim@yahoo.com,0123456789,434.82,2023-01-11,Home,,,
CUST1075,Mark Ibrahim,200.0,F,mark.ibrahim@yahoo.com,,991.85,2025-06-07,Clothing,1.0,,F
CUST1076,Fatma Smith,-1.0,Female,fatma.smith@hotmail.com,0123456789,95.42,2025-04-24,Toys,3.0,,Female
CUST1077,Mark Mahmoud,,F,mark.mahmoud@yahoo.com,,384.79,2023-05-31,Clothing,5.0,,F
CUST1078,Ali Ibrahim,,M,ali.ibrahim@yahoo.com,,580.82,2023-04-13,,5.0,,M
CUST1079,Mark Smith,,Female,mark.smith@yahoo.com,,356.65,2024-03-13,Clothing,2.0,,Female
CUST1080,Sara Gaber,73.0,,sara.gaber@gmail.com,0987654321,979.66,2025-06-10,Home,10.0,,
CUST1081,Lina Ibrahim,,Male,lina.ibrahim@hotmail.com,0123456789,416.05,2022-10-28,,1.0,,Male
